Park,Name,ShortName,Unit Code,Park Type,Region,State,Year,Date,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude,Summer,Autumn,Winter,Spring
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2019,Jan 1 2019,36860,86,103,0,37.57,-112.18,1183718,690270,110027,610889
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2020,Jan 1 2020,32744,161,168,0,37.57,-112.18,633179,589786,123756,117934
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2021,Jan 1 2021,37725,444,230,8,37.57,-112.18,845111,548147,117909,593433
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2012,Jan 1 2012,5822,176,81,187,38.2,-109.93,152915,126905,19261,153871
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2013,Jan 1 2013,3617,90,213,134,38.2,-109.93,165332,115372,15260,166278
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2014,Jan 1 2014,5182,99,247,53,38.2,-109.93,182669,155816,29077,174869
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2015,Jan 1 2015,6376,147,64,102,38.2,-109.93,220686,174229,27254,212438
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2016,Jan 1 2016,5050,147,31,54,38.2,-109.93,261900,206901,33879,273538
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2017,Jan 1 2017,7434,102,100,75,38.2,-109.93,241228,205896,40117,255030
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2018,Jan 1 2018,9575,123,189,149,38.2,-109.93,228721,212862,35818,262048
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2019,Jan 1 2019,7146,36,79,115,38.2,-109.93,226264,212041,30574,265117
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2020,Jan 1 2020,9051,67,84,120,38.2,-109.93,193499,234338,45283,20794
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,2021,Jan 1 2021,18837,192,250,229,38.2,-109.93,258283,253292,61269,338750
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2012,Jan 1 2012,10752,37,21,7,38.2,-111.17,255872,200072,26200,191201
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2013,Jan 1 2013,5915,19,27,0,38.2,-111.17,255231,179926,21799,206714
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2014,Jan 1 2014,10548,49,26,8,38.2,-111.17,280241,241216,33206,231851
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2015,Jan 1 2015,9083,46,55,16,38.2,-111.17,368458,272689,35138,264744
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2016,Jan 1 2016,10714,26,33,23,38.2,-111.17,363649,327258,44668,329329
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2017,Jan 1 2017,10546,92,68,11,38.2,-111.17,387047,335319,46647,381152
